"";"X.2";"X.1";"X";"Nrpk";"Year";"Date";"Releve_area";"Polig_nr";"Manag_impact";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Eksp_group";"Mont_pnt";"Eksp_str";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Ul_strgraz";"Exp_opin";"Statuslet";"Luordap";"Shr_score";"Litt_score";"Sur_score";"Mos_score";"Exp_score";"Swrd_score";"Pastr_scor";"Imp_score";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Aegoppod";"Alopepra";"Anthrsyl";"Calamepi";"Cirsiarv";"Chaeraro";"Dactyglo";"Elytrrep";"Filipulm";"Heracsos";"Loliuper";"Lupinpol";"Ranunrep";"Solidcan";"Taraxoff";"Trifohyb";"Trifomed";"Agrimonia.eupatoria";"Alchemilla.vulgaris";"Briza.media";"Campanula.spp.";"Carex.panicea";"Carlina.vulgaris";"Centaurea.spp.";"Cirsium.heterophyllum";"Cirsium.oleraceum";"Dactylorhiza.spp.";"Dianthus.deltoides";"Fragaria.spp.";"Galium.boreale";"Galium.spp.";"Galium.verum";"Geranium.spp.";"Geum.spp.";"Hypericum.spp.";"Inula.salicina";"Knautia.arvensis";"Lathyrus.spp...Lotus.spp.";"Leontodon.hispidus.danubialis";"Leucanthemum.vulgare";"Listera.ovata";"Lychnis.flos.cuculi";"Lythrum.salicaria";"Medicago.lupulina";"Melampyrum.spp.";"Pilosella..Hieracium.species";"Pimpinella.saxifraga";"Plantago.media";"Platanthera.spp.";"Polygala.spp.";"Potentilla.argentea";"Potentilla.erecta";"Primula.veris";"Rhinanthus.spp.";"Scirpus.sylvaticus";"Sedum.acre";"Solidago.virgaurea";"Succisa.pratensis";"Thalictrum.spp.";"Thymus.spp.";"Tragopogon.pratensis";"Trifolium.dzelteniem.z.";"Trifolium.montanum";"Trollius.europaeus";"Valeriana.officinalis";"Veronica.longifolia";"Viscaria.vulgaris";"spp_richness_subplot";"avg_spp_richness_10subplots";"Agrimonia.eupatoria_freq10";"Alchemilla.vulgaris_freq10";"Briza.media_freq10";"Campanula.spp._freq10";"Carex.panicea_freq10";"Carlina.vulgaris_freq10";"Centaurea.spp._freq10";"Cirsium.heterophyllum_freq10";"Cirsium.oleraceum_freq10";"Dactylorhiza.spp._freq10";"Dianthus.deltoides_freq10";"Fragaria.spp._freq10";"Galium.boreale_freq10";"Galium.spp._freq10";"Galium.verum_freq10";"Geranium.spp._freq10";"Geum.spp._freq10";"Hypericum.spp._freq10";"Inula.salicina_freq10";"Knautia.arvensis_freq10";"Lathyrus.spp...Lotus.spp._freq10";"Leontodon.hispidus.danubialis_freq10";"Leucanthemum.vulgare_freq10";"Listera.ovata_freq10";"Lychnis.flos.cuculi_freq10";"Lythrum.salicaria_freq10";"Medicago.lupulina_freq10";"Melampyrum.spp._freq10";"Pilosella..Hieracium.species_freq10";"Pimpinella.saxifraga_freq10";"Plantago.media_freq10";"Platanthera.spp._freq10";"Polygala.spp._freq10";"Potentilla.argentea_freq10";"Potentilla.erecta_freq10";"Primula.veris_freq10";"Rhinanthus.spp._freq10";"Scirpus.sylvaticus_freq10";"Sedum.acre_freq10";"Solidago.virgaurea_freq10";"Succisa.pratensis_freq10";"Thalictrum.spp._freq10";"Thymus.spp._freq10";"Tragopogon.pratensis_freq10";"Trifolium.dzelteniem.z._freq10";"Trifolium.montanum_freq10";"Trollius.europaeus_freq10";"Valeriana.officinalis_freq10";"Veronica.longifolia_freq10";"Viscaria.vulgaris_freq10";"Agrimonia.eupatoria_n10";"Alchemilla.vulgaris_n10";"Briza.media_n10";"Campanula.spp._n10";"Carex.panicea_n10";"Carlina.vulgaris_n10";"Centaurea.spp._n10";"Cirsium.heterophyllum_n10";"Cirsium.oleraceum_n10";"Dactylorhiza.spp._n10";"Dianthus.deltoides_n10";"Fragaria.spp._n10";"Galium.boreale_n10";"Galium.spp._n10";"Galium.verum_n10";"Geranium.spp._n10";"Geum.spp._n10";"Hypericum.spp._n10";"Inula.salicina_n10";"Knautia.arvensis_n10";"Lathyrus.spp...Lotus.spp._n10";"Leontodon.hispidus.danubialis_n10";"Leucanthemum.vulgare_n10";"Listera.ovata_n10";"Lychnis.flos.cuculi_n10";"Lythrum.salicaria_n10";"Medicago.lupulina_n10";"Melampyrum.spp._n10";"Pilosella..Hieracium.species_n10";"Pimpinella.saxifraga_n10";"Plantago.media_n10";"Platanthera.spp._n10";"Polygala.spp._n10";"Potentilla.argentea_n10";"Potentilla.erecta_n10";"Primula.veris_n10";"Rhinanthus.spp._n10";"Scirpus.sylvaticus_n10";"Sedum.acre_n10";"Solidago.virgaurea_n10";"Succisa.pratensis_n10";"Thalictrum.spp._n10";"Thymus.spp._n10";"Tragopogon.pratensis_n10";"Trifolium.dzelteniem.z._n10";"Trifolium.montanum_n10";"Trollius.europaeus_n10";"Valeriana.officinalis_n10";"Veronica.longifolia_n10";"Viscaria.vulgaris_n10";"Agrimonia.eupatoria_F10";"Alchemilla.vulgaris_F10";"Briza.media_F10";"Campanula.spp._F10";"Carex.panicea_F10";"Carlina.vulgaris_F10";"Centaurea.spp._F10";"Cirsium.heterophyllum_F10";"Cirsium.oleraceum_F10";"Dactylorhiza.spp._F10";"Dianthus.deltoides_F10";"Fragaria.spp._F10";"Galium.boreale_F10";"Galium.spp._F10";"Galium.verum_F10";"Geranium.spp._F10";"Geum.spp._F10";"Hypericum.spp._F10";"Inula.salicina_F10";"Knautia.arvensis_F10";"Lathyrus.spp...Lotus.spp._F10";"Leontodon.hispidus.danubialis_F10";"Leucanthemum.vulgare_F10";"Listera.ovata_F10";"Lychnis.flos.cuculi_F10";"Lythrum.salicaria_F10";"Medicago.lupulina_F10";"Melampyrum.spp._F10";"Pilosella..Hieracium.species_F10";"Pimpinella.saxifraga_F10";"Plantago.media_F10";"Platanthera.spp._F10";"Polygala.spp._F10";"Potentilla.argentea_F10";"Potentilla.erecta_F10";"Primula.veris_F10";"Rhinanthus.spp._F10";"Scirpus.sylvaticus_F10";"Sedum.acre_F10";"Solidago.virgaurea_F10";"Succisa.pratensis_F10";"Thalictrum.spp._F10";"Thymus.spp._F10";"Tragopogon.pratensis_F10";"Trifolium.dzelteniem.z._F10";"Trifolium.montanum_F10";"Trollius.europaeus_F10";"Valeriana.officinalis_F10";"Veronica.longifolia_F10";"Viscaria.vulgaris_F10";"Agrimonia.eupatoria_Cpos";"Alchemilla.vulgaris_Cpos";"Briza.media_Cpos";"Campanula.spp._Cpos";"Carex.panicea_Cpos";"Carlina.vulgaris_Cpos";"Centaurea.spp._Cpos";"Cirsium.heterophyllum_Cpos";"Cirsium.oleraceum_Cpos";"Dactylorhiza.spp._Cpos";"Dianthus.deltoides_Cpos";"Fragaria.spp._Cpos";"Galium.boreale_Cpos";"Galium.spp._Cpos";"Galium.verum_Cpos";"Geranium.spp._Cpos";"Geum.spp._Cpos";"Hypericum.spp._Cpos";"Inula.salicina_Cpos";"Knautia.arvensis_Cpos";"Lathyrus.spp...Lotus.spp._Cpos";"Leontodon.hispidus.danubialis_Cpos";"Leucanthemum.vulgare_Cpos";"Listera.ovata_Cpos";"Lychnis.flos.cuculi_Cpos";"Lythrum.salicaria_Cpos";"Medicago.lupulina_Cpos";"Melampyrum.spp._Cpos";"Pilosella..Hieracium.species_Cpos";"Pimpinella.saxifraga_Cpos";"Plantago.media_Cpos";"Platanthera.spp._Cpos";"Polygala.spp._Cpos";"Potentilla.argentea_Cpos";"Potentilla.erecta_Cpos";"Primula.veris_Cpos";"Rhinanthus.spp._Cpos";"Scirpus.sylvaticus_Cpos";"Sedum.acre_Cpos";"Solidago.virgaurea_Cpos";"Succisa.pratensis_Cpos";"Thalictrum.spp._Cpos";"Thymus.spp._Cpos";"Tragopogon.pratensis_Cpos";"Trifolium.dzelteniem.z._Cpos";"Trifolium.montanum_Cpos";"Trollius.europaeus_Cpos";"Valeriana.officinalis_Cpos";"Veronica.longifolia_Cpos";"Viscaria.vulgaris_Cpos";"Agrimonia.eupatoria_WF10";"Alchemilla.vulgaris_WF10";"Briza.media_WF10";"Campanula.spp._WF10";"Carex.panicea_WF10";"Carlina.vulgaris_WF10";"Centaurea.spp._WF10";"Cirsium.heterophyllum_WF10";"Cirsium.oleraceum_WF10";"Dactylorhiza.spp._WF10";"Dianthus.deltoides_WF10";"Fragaria.spp._WF10";"Galium.boreale_WF10";"Galium.spp._WF10";"Galium.verum_WF10";"Geranium.spp._WF10";"Geum.spp._WF10";"Hypericum.spp._WF10";"Inula.salicina_WF10";"Knautia.arvensis_WF10";"Lathyrus.spp...Lotus.spp._WF10";"Leontodon.hispidus.danubialis_WF10";"Leucanthemum.vulgare_WF10";"Listera.ovata_WF10";"Lychnis.flos.cuculi_WF10";"Lythrum.salicaria_WF10";"Medicago.lupulina_WF10";"Melampyrum.spp._WF10";"Pilosella..Hieracium.species_WF10";"Pimpinella.saxifraga_WF10";"Plantago.media_WF10";"Platanthera.spp._WF10";"Polygala.spp._WF10";"Potentilla.argentea_WF10";"Potentilla.erecta_WF10";"Primula.veris_WF10";"Rhinanthus.spp._WF10";"Scirpus.sylvaticus_WF10";"Sedum.acre_WF10";"Solidago.virgaurea_WF10";"Succisa.pratensis_WF10";"Thalictrum.spp._WF10";"Thymus.spp._WF10";"Tragopogon.pratensis_WF10";"Trifolium.dzelteniem.z._WF10";"Trifolium.montanum_WF10";"Trollius.europaeus_WF10";"Valeriana.officinalis_WF10";"Veronica.longifolia_WF10";"Viscaria.vulgaris_WF10";"Cumul_spno"
"11";11;11;11;13562;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_1";"M.Medne";"M.Medne";1;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"12";12;12;12;13563;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_10";"M.Medne";"M.Medne";10;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"13";13;13;13;13564;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_2";"M.Medne";"M.Medne";2;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"14";14;14;14;13565;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_3";"M.Medne";"M.Medne";3;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"15";15;15;15;13566;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_4";"M.Medne";"M.Medne";4;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"16";16;16;16;13567;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_5";"M.Medne";"M.Medne";5;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"17";17;17;17;13568;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_6";"M.Medne";"M.Medne";6;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"18";18;18;18;13569;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_7";"M.Medne";"M.Medne";7;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"19";19;19;19;13570;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_8";"M.Medne";"M.Medne";8;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
"20";20;20;20;13571;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_9";"M.Medne";"M.Medne";9;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;2;0;0;6;0;1;0;0;0;0;8;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0,2;0;0;0,6;0;0,1;0;0;0;0;0,8;0;0;0;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;1;0;0;1,16666666666667;0;1;0;0;0;0;2;0;0;0;1;0;0;2,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14285714285714;0;0;0;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;1,6;0;0;0;0,2;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;7
